"source_associate_id","kwuid","growth_share_sponsor_source_id","proposed_growth_share_sponsor","temporary_growth_share_sponsor","vested","vesting_start_period","listing_approval_required","exclude_from_individual_reports","source_market_center_id","source_team_id"
"370","429721","151","","false","true","2015-12-07T00:00:00","true","false","54","62"
"371","429713","289","","false","false","2015-12-07T00:00:00","false","false","40",""
"372","429710","364","","false","true","2015-12-01T00:00:00","true","false","54",""
"373","429890","798","","false","true","2018-05-11T00:00:00","true","false","43",""
"374","429891","93","","false","true","2015-12-10T00:00:00","true","false","72",""
"375","429892","666","","false","true","2018-07-17T00:00:00","true","false","43",""
"376","429893","93","","false","true","2015-12-03T00:00:00","true","false","43",""
"377","430042","349","","false","true","2015-12-01T00:00:00","true","false","54",""
"378","430043","349","","false","true","2015-12-01T00:00:00","true","false","67",""
"379","430045","349","","false","true","2015-12-01T00:00:00","true","false","54",""
"380","430046","379","","false","true","2015-12-01T00:00:00","true","false","54",""
"381","430048","349","","false","true","2015-12-01T00:00:00","true","false","67",""
"382","430213","687","","false","true","2015-12-01T00:00:00","true","false","54",""
"383","432455","32","","false","false","2016-01-01T00:00:00","false","false","158","168"
"384","432454","726","","false","true","2016-01-01T00:00:00","true","false","57",""
"385","432742","258","","false","true","2016-01-01T00:00:00","true","false","40",""
"386","432741","210","","false","true","2016-01-06T00:00:00","true","false","50",""
"387","432743","99","","false","true","2016-01-01T00:00:00","true","false","58",""
"388","435736","99","","false","true","2016-01-04T00:00:00","false","false","58",""
"389","436545","261","","false","false","2016-01-18T00:00:00","false","false","158",""
"390","436543","261","","false","true","2016-01-25T00:00:00","true","false","57",""
"391","437069","90","","false","true","2018-04-17T00:00:00","true","false","26",""
"392","433820","349","","false","true","2016-01-04T00:00:00","true","false","54",""
"393","433818","349","","false","true","2016-01-04T00:00:00","true","false","54",""
"394","433817","330","","false","true","2018-04-23T00:00:00","true","false","40",""
"395","434078","195","","false","true","2016-01-06T00:00:00","true","false","50",""
"396","434551","261","","false","false","2016-01-01T00:00:00","true","false","57",""
"397","434549","366","","false","true","2016-01-11T00:00:00","true","false","57",""
